"token","freq"
"got lots lots",2
"gov chris christie",4
"granted united states",2
"great job guys",2
"greater speedaccuracy air",2
"guitarist dan auerbach",2
"gun technology focused",2
"happy cinco de",2
"happy hour pm",2
"happy mothers day",3
"happy new year",4
"happy valentines day",2
"have great weekend",2
"hazing took place",3
"health care reform",2
"help feel like",2
"help us get",2
"higher education system",2
"hour waiting period",2
"hours per year",2
"hr rbi risp",2
"hurt really bad",2
"i always wanted",2
"i don’t know",2
"i don’t mind",2
"i feel like",3
"i hope know",2
"i just got",2
"i just want",2
"i really need",2
"i really really",2
"i remember time",2
"i think knew",3
"i think need",2
"i want know",2
"im going make",2
"im going start",2
"im going try",2
"im looking forward",4
"inc rose percent",2
"international womens day",2
"invitation paintball party",11
"its time year",2
"ive learned much",2
"ive never owned",2
"jimmie dale gilmore",2
"job performance percent",2
"july pm yrs",2
"june pm yrs",2
"just four years",2
"just go away",2
"just got back",2
"just one thing",3
"just right amount",2
"just two months",2
"just wanna go",2
"just wanted say",2
"k andrew designs",2
"kansas city area",2
"keeps getting better",2
"kid charlie chocolate",2
"lacs quarter ending",4
"larceny larceny reported",2
"last two years",3
"late last month",2
"late tuesday night",2
"latin abbreviation anno",2
"latin jazz category",2
"lee hsien loong",2
"let know like",3
"let us examine",2
"let us know",3
"level mp cost",2
"like kid charlie",2
"like third wheel",2
"long long way",2
"long one year",2
"long periods time",2
"long way go",3
"looked like wall",2
"looking forward seeing",2
"los angeles recently",2
"m pm sunday",2
"madison square garden",2
"main stage theatre",2
"make big difference",2
"man woman walk",2
"manager tom heckert",2
"many things can",2
"many times like",2
"many years ago",2
"many years experience",2
"mar rs lacs",2
"mary kay also",2
"maryland state board",2
"massachusetts overall rating",2
"materials study materials",2
"math scores spent",2
"may enter many",2
"meet n greet",2
"million cents per",2
"million compared million",2
"minister lee hsien",2
"modern art new",2
"museum modern art",2
"necessary defend danger",2
"need best friend",2
"need see doctor",2
"need tail need",4
"new england patriots",2
"new york ap",2
"new york city",3
"new york new",2
"new york state",3
"next couple days",2
"next morning got",2
"next two years",2
"nhl commissioner gary",2
"none us ever",2
"north carolina state",2
"obnoxious fairy princess",2
"occupy wall street",3
"oil gas industry",2
"oil natural gas",3
"old man clooney",2
"one another sometimes",2
"one day ’s",2
"one game will",2
"one interception every",2
"one serving day",2
"one super happy",2
"one thing time",2
"oven degrees f",2
"oven preheat oven",2
"paintball gun technology",2
"paintball rifle airsoft",2
"paper minds eye",2
"past three years",3
"past two weeks",2
"past two years",4
"peanut butter jar",2
"people hard time",2
"pepper stir well",2
"per year school",2
"percent first quarter",2
"pga tour victory",2
"player massachusetts overall",2
"please please please",8
"pm mondaythursday pm",2
"pm yrs july",2
"port new york",2
"pray real peace",2
"preheat oven degrees",3
"president barack obama",3
"prime minister lee",2
"prospect small forward",3
"public comment time",2
"quarter ending mar",4
"quarter last year",2
"raise debt ceiling",2
"raised million million",2
"ready let go",2
"realistic paintball rifle",2
"really really really",3
"recovery taking time",2
"refreshments will served",2
"regular beer choice",2
"relationship son jesus",2
"rifle airsoft weapon",2
"right now im",2
"right now two",2
"robert e howard",2
"rock n roll",3
"rose bowl victory",2
"rs lacs quarter",4
"said school board",2
"said think can",2
"san diego padres",2
"san diego san",2
"saturday m pm",2
"saw youtube video",2
"school activities program",2
"school board will",2
"scores spent average",2
"scrapbook stamp society",2
"secret recipe club",2
"sen alex padilla",2
"senate majority leader",2
"seventhgraders july entering",2
"several years ago",2
"sir ray tindle",2
"sit back enjoy",2
"six cheese medley",2
"sixth seventhgraders july",2
"small forward player",3
"social media sites",3
"son jesus christ",2
"song stuck head",2
"south st louis",2
"southern poverty law",2
"sow seed reap",2
"spend much time",2
"spent average hours",2
"st louis county",4
"st louis mo",2
"st louis rams",2
"st margaret mary",3
"start new one",2
"state board voted",2
"state department environmental",2
"still applying jobs",2
"stop say hi",2
"strokes back nine",2
"sunny high near",2
"superior court judge",2
"tackle climate change",2
"tail need tail",4
"take care god",2
"take place pm",3
"take time think",2
"technology focused achieving",2
"the good news",2
"the great thing",2
"thing works don’t",2
"think every time",2
"think know everything",2
"third straight day",2
"this first time",2
"thought ’d share",2
"three years ago",2
"time think goals",2
"together one place",2
"tonight sunday pm",2
"turn around see",2
"two decades ago",2
"two three days",2
"two three weeks",2
"two weeks ago",2
"two years ago",3
"u know u",2
"university north carolina",2
"unlike american idol",2
"us fidelis creditors",2
"us get followers",2
"us supreme court",2
"use deadly force",2
"via relationship son",2
"wait come back",2
"waiting hear back",2
"want leave comment",2
"want make sure",2
"want see man",2
"wanted let know",2
"war one another",2
"will come back",2
"will enemy enemies",2
"will get better",2
"will take care",2
"will take place",6
"wisdom imparted god",2
"wolf said “",2
"words sounds vol",2
"works don’t get",2
"world trade center",4
"world war ii",2
"yearold class limited",2
"years ago today",2
"yes read right",2
"york new jersey",2
"you may enter",2
"young men women",2
"yrs july pm",2
